text,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,is_reply_to_user,related_user_id,,,
"Live NOW in Portuguese!!! Talking #Bitcoin Charts w/ @ligacrypto
https://t.co/lLk1W8INP6",1521974430812893185,2022-05-04T22:05:55.000Z,8,16,51,1,0,2577886615
"#Bitcoin Rallies with the Fed Meeting
https://t.co/aSiOuFvDjI",1521875840103030786,2022-05-04T15:34:10.000Z,7,19,45,0,0,2577886615
"#Bitcoin Consolidation Continues
https://t.co/YHunztnlaI",1521487392766582784,2022-05-03T13:50:36.000Z,10,26,42,0,0,2577886615
"#Bitcoin Still Consolidating at the Lows!
https://t.co/ECQsyGxkjI",1521087203732037633,2022-05-02T11:20:24.000Z,12,17,44,0,0,2577886615
"#Bitcoin Continues to Struggle like Stocks
https://t.co/nAOmAGH0V9",1520423174487351300,2022-04-30T15:21:47.000Z,9,26,41,0,0,2577886615
"#Bitcoin Getting Rejected by Resistance - Not Good!
https://t.co/6FQ1hWYK4G",1520110019454414849,2022-04-29T18:37:25.000Z,12,25,46,0,0,2577886615
"#Bitcoin Price Update on Rout to Brazil :)
https://t.co/ieCVaeWTR7",1519834520668758018,2022-04-29T00:22:41.000Z,9,22,55,0,0,2577886615
"#Bitcoin Support Clearly Broken but NO Follow Through Yet!
https://t.co/8jwGt87R3p",1519655224113254400,2022-04-28T12:30:13.000Z,13,15,40,1,0,2577886615
"Major #Bitcoin Support Broken - Now What?
https://t.co/XOtXhBJXz5",1519317702543917062,2022-04-27T14:09:02.000Z,12,16,45,1,0,2577886615
"Should You Get Excited Over This Bitcoin Pump?
https://t.co/B6y0BoCiLR",1518956408523350016,2022-04-26T14:13:23.000Z,6,27,37,1,0,2577886615
"#Bitcoin Brief w/ @jimmysong &amp; @GrassFedBitcoin to talk #BIP119's controversial OP_CTV, Mexico #CBDC &amp; $BTC's Role in Russia vs Ukraine!
- Guests 'might' also include @nvk @giacomozucco &amp; @adam3us of @Blockstream !!!
https://t.co/8JCXeJrwde",1518648596077457410,2022-04-25T17:50:15.000Z,27,34,65,1,0,2577886615
"Troublesome Start to the #Bitcoin Trading Week!
https://t.co/BMlI0eBWKq",1518606315756695553,2022-04-25T15:02:14.000Z,6,17,31,0,0,2577886615
RT @cameron: Bitcoin isn't just an asset. And it's not just a technology. It's a movement that offers the blueprint to dismantle traditiona…,1525477669936168960,2022-05-14T14:06:33.000Z,319,0,0,0,0,24222556
